region,year,quarter,n_fires,mean_frp,sum_frp
Total,2020,2020-Q4,4503,8.578372196313568,38628.41
Total,2021,2021-Q1,35,4.554571428571428,159.41
Total,2021,2021-Q2,124,5.595564516129032,693.85
Total,2021,2021-Q3,6403,9.32689208183664,59720.09
Total,2021,2021-Q4,7517,8.496384195822802,63867.32
Total,2022,2022-Q1,24,4.306666666666667,103.36
Total,2022,2022-Q2,54,3.5303703703703704,190.64
Total,2022,2022-Q3,6124,9.231672109732202,56534.76
Total,2022,2022-Q4,5733,8.93900924472353,51247.34
Total,2023,2023-Q1,61,3.6255737704918034,221.16
Total,2023,2023-Q2,314,5.133152866242038,1611.81
Total,2023,2023-Q3,9250,7.8976,73052.8
Total,2023,2023-Q4,4585,7.6878669574700105,35248.87
Total,2024,2024-Q1,154,4.998116883116883,769.71
Total,2024,2024-Q2,340,5.7348823529411765,1949.86
Total,2024,2024-Q3,9043,9.152212761251796,82763.46
Total,2024,2024-Q4,1601,8.21046221111805,13144.95
