region,year,month,n_fires,mean_frp,sum_frp
GNP_and_Mountain,2023,December,14,3.736428571428571,52.309999999999995
GNP_and_Mountain,2024,January,0,NA,0
GNP_and_Mountain,2024,February,3,10.166666666666668,30.5
GNP_and_Mountain,2024,March,3,4.073333333333333,12.219999999999999
GNP_and_Mountain,2024,April,0,NA,0
GNP_and_Mountain,2024,May,8,7.60375,60.83
GNP_and_Mountain,2024,June,18,6.187222222222222,111.36999999999999
GNP_and_Mountain,2024,July,142,8.365070422535211,1187.8400000000008
GNP_and_Mountain,2024,August,1078,9.445333951762523,10182.069999999996
GNP_and_Mountain,2024,September,1291,10.359395817195972,13373.980000000003
GNP_and_Mountain,2024,October,250,9.77252,2443.1299999999983
GNP_and_Mountain,2024,November,48,6.4818750000000005,311.13
GNP_and_Mountain,2024,December,71,10.432676056338028,740.7199999999997
Mountain,2017,January,0,NA,0
Mountain,2017,February,0,NA,0
Mountain,2017,March,0,NA,0
Mountain,2017,April,0,NA,0
Mountain,2017,May,2,2.8200000000000003,5.640000000000001
Mountain,2017,June,5,5.244,26.22
Mountain,2017,July,13,5.5892307692307694,72.66
Mountain,2017,August,31,6.911612903225806,214.26000000000002
Mountain,2017,September,324,10.668487654320987,3456.5899999999983
Mountain,2017,October,474,9.59373417721519,4547.429999999998
Mountain,2017,November,8,7.06875,56.55
Mountain,2017,December,2,3.865,7.73
Mountain,2018,January,2,3.94,7.88
Mountain,2018,February,0,NA,0
Mountain,2018,March,0,NA,0
Mountain,2018,April,1,6.05,6.05
Mountain,2018,May,4,3.045,12.18
Mountain,2018,June,8,6.545,52.36
Mountain,2018,July,13,8.475384615384614,110.17999999999999
Mountain,2018,August,86,7.3132558139534884,628.9399999999998
Mountain,2018,September,660,8.52410606060606,5625.9100000000035
Mountain,2018,October,47,9.887446808510639,464.71000000000004
Mountain,2018,November,11,4.256363636363636,46.82
Mountain,2018,December,0,NA,0
Mountain,2019,January,0,NA,0
Mountain,2019,February,0,NA,0
Mountain,2019,March,1,5.25,5.25
Mountain,2019,April,2,3.2,6.4
Mountain,2019,May,12,3.5116666666666667,42.139999999999986
Mountain,2019,June,1,2.02,2.02
Mountain,2019,July,19,3.938421052631579,74.83
Mountain,2019,August,132,8.433333333333334,1113.2000000000003
Mountain,2019,September,470,10.790893617021275,5071.719999999999
Mountain,2019,October,318,5.923962264150943,1883.8199999999986
Mountain,2019,November,22,5.39,118.57999999999998
Mountain,2019,December,0,NA,0
Mountain,2020,January,0,NA,0
Mountain,2020,February,1,7.56,7.56
Mountain,2020,March,2,3.75,7.5
Mountain,2020,April,1,2.99,2.99
Mountain,2020,May,2,3.41,6.82
Mountain,2020,June,3,6.023333333333333,18.07
Mountain,2020,July,9,3.3022222222222224,29.72
Mountain,2020,August,44,7.497272727272727,329.8800000000001
Mountain,2020,September,355,11.714676056338028,4158.709999999998
Mountain,2020,October,136,9.029338235294118,1227.9899999999996
Mountain,2020,November,121,8.720495867768594,1055.1800000000005
Mountain,2020,December,0,NA,0
Mountain,2021,January,0,NA,0
Mountain,2021,February,0,NA,0
Mountain,2021,March,2,5.17,10.34
Mountain,2021,April,3,4.5,13.5
Mountain,2021,May,10,8.884,88.83999999999999
Mountain,2021,June,13,6.142307692307692,79.85
Mountain,2021,July,11,7.417272727272727,81.59000000000002
Mountain,2021,August,44,5.049545454545455,222.17999999999998
Mountain,2021,September,222,8.161531531531532,1811.8600000000015
Mountain,2021,October,181,8.236298342541437,1490.7699999999993
Mountain,2021,November,107,7.856448598130841,840.64
Mountain,2021,December,41,7.32609756097561,300.37
Mountain,2022,January,0,NA,0
Mountain,2022,February,1,7.7,7.7
Mountain,2022,March,5,5.07,25.349999999999998
Mountain,2022,April,2,3.215,6.43
Mountain,2022,May,4,3.2625,13.049999999999999
Mountain,2022,June,1,2.3,2.3
Mountain,2022,July,1,4.47,4.47
Mountain,2022,August,65,5.368461538461538,348.9499999999999
Mountain,2022,September,415,8.21390361445783,3408.769999999999
Mountain,2022,October,521,7.473973128598848,3893.9400000000014
Mountain,2022,November,2,2.48,4.96
Mountain,2022,December,0,NA,0
Mountain,2023,January,0,NA,0
Mountain,2023,February,0,NA,0
Mountain,2023,March,0,NA,0
Mountain,2023,April,1,2.64,2.64
Mountain,2023,May,27,4.310370370370371,116.37999999999998
Mountain,2023,June,43,5.256046511627907,226.00999999999993
Mountain,2023,July,17,4.9405882352941175,83.99000000000002
Mountain,2023,August,87,7.523908045977011,654.5800000000002
Mountain,2023,September,293,8.527781569965871,2498.6399999999994
Mountain,2023,October,169,6.599230769230769,1115.2700000000002
Mountain,2023,November,14,7.4435714285714285,104.21000000000001
Mountain,2023,December,5,3.854,19.27
Mountain,2024,January,0,NA,0
Mountain,2024,February,1,27.72,27.72
Mountain,2024,March,1,2.43,2.43
Mountain,2024,April,0,NA,0
Mountain,2024,May,4,4.865,19.46
Mountain,2024,June,6,8.581666666666667,51.489999999999995
Mountain,2024,July,39,9.491282051282052,370.16
Mountain,2024,August,193,9.582953367875648,1849.5100000000014
Mountain,2024,September,774,10.832286821705425,8384.189999999999
Mountain,2024,October,34,7.068529411764706,240.33000000000007
Mountain,2024,November,0,NA,0
Mountain,2024,December,4,3.8875,15.55
Total,2017,January,0,NA,0
Total,2017,February,2,1.58,3.16
Total,2017,March,2,2.87,5.74
Total,2017,April,6,4.176666666666667,25.06
Total,2017,May,20,3.8785,77.57000000000001
Total,2017,June,173,7.789768786127167,1347.6299999999997
Total,2017,July,1164,10.411357388316153,12118.820000000016
Total,2017,August,3252,9.049581795817957,29429.23999999999
Total,2017,September,3952,8.759400303643725,34617.149999999914
Total,2017,October,4856,8.876037891268535,43102.03999999998
Total,2017,November,356,8.336404494382023,2967.759999999999
Total,2017,December,109,4.753302752293578,518.1099999999999
Total,2018,January,8,3.8075,30.459999999999997
Total,2018,February,3,3.993333333333333,11.98
Total,2018,March,5,6.119999999999999,30.6
Total,2018,April,14,3.385,47.389999999999986
Total,2018,May,24,3.1954166666666666,76.69000000000001
Total,2018,June,200,5.6971,1139.4200000000003
Total,2018,July,307,7.480488599348535,2296.5100000000007
Total,2018,August,3889,9.535656981229108,37084.16999999997
Total,2018,September,7133,8.780204682461797,62629.19999999994
Total,2018,October,2321,8.184661783713917,18996.600000000013
Total,2018,November,901,9.193218645948948,8283.09
Total,2018,December,58,5.822586206896552,337.7100000000001
Total,2019,January,1,2.15,2.15
Total,2019,February,32,3.7196875,119.03
Total,2019,March,11,4.965454545454546,54.620000000000005
Total,2019,April,7,3.1614285714285715,22.13
Total,2019,May,39,3.65,142.35
Total,2019,June,52,5.200961538461538,270.45
